CityState,Year,MedianSoldPricePerSqft_AllHomes,MedianSoldPricePerSqft_SingleFamilyResidence,MedianSoldPrice_AllHomes,ZHVIPerSqft_AllHomes,ZHVI_AllHomes,ZHVI_SingleFamilyResidence,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_SingleFamilyResidence
"San Francisco, CA",2010,571.6291166666666,528.5504416666666,703872.9166666666,550.6666666666666,706441.6666666666,721350.0,2.6840499868604284,
"San Francisco, CA",2011,546.4321833333335,492.3258166666667,668733.3333333334,527.5,674716.6666666666,682000.0,2.813512524559598,
"San Francisco, CA",2012,603.4216833333334,518.2946583333332,722737.5,552.75,697250.0,696525.0,3.099758105190425,
"San Francisco, CA",2013,720.2264833333334,605.9712166666666,828747.9166666666,655.0833333333334,813983.3333333334,814466.6666666666,3.5922778098510393,
"San Francisco, CA",2014,834.2835916666664,703.9400333333333,952991.6666666666,753.4166666666666,937291.6666666666,938250.0,3.675747792664954,3.3507780655256334
"San Francisco, CA",2015,949.8845166666666,825.3977083333333,1105722.9166666667,864.75,1074500.0,1075375.0,4.110649268452316,3.6583577324178425
"San Francisco, CA",2016,950.2915142857142,870.5151999999999,1168020.8333333333,900.0833333333334,1131333.3333333333,1142441.6666666667,4.053378927554061,3.4582218267639493
"San Francisco, CA",2017,,,,936.5,1197125.0,1234575.0,4.091887791804876,3.3848207689085914
"Seattle, WA",2007,339.06501666666674,302.1253166666666,412129.1666666667,337.4166666666667,462000.0,503941.6666666667,,
"Seattle, WA",2008,316.6416,285.9856833333333,406083.0,322.6666666666667,440466.6666666667,480850.0,,
"Seattle, WA",2009,285.67452499999996,260.540275,376179.25,288.5833333333333,393666.6666666667,430525.0,,
"Seattle, WA",2010,288.7597333333334,272.5728166666667,385012.5,273.5,376641.6666666667,410525.0,1.4065064314531743,
"Seattle, WA",2011,270.0158333333333,261.4946333333333,373137.5,257.8333333333333,357041.6666666667,393225.0,1.400877053559484,
"Seattle, WA",2012,266.292525,259.6807,363786.25,265.75,370000.0,409783.3333333333,1.5484389818626958,
"Seattle, WA",2013,295.08087499999993,277.675275,401024.1666666667,295.4166666666667,413333.3333333333,452191.6666666667,1.7776159398154359,1.4016231703916826
"Seattle, WA",2014,318.23431666666664,296.4979833333333,422788.5416666667,321.75,447100.0,494975.0,1.7747245695227967,1.5190835209824194
"Seattle, WA",2015,359.18445833333334,337.68074166666673,467880.4166666667,362.5833333333333,507266.6666666667,561016.6666666666,1.9539548329233527,1.6398283625572792
"Seattle, WA",2016,417.98640000000006,398.45924285714284,531883.3333333334,417.0,591983.3333333334,648458.3333333334,2.062129740186053,1.7636401859610817
"Seattle, WA",2017,,,,462.625,660737.5,727162.5,2.138345184157245,1.8915633485441639
"Washington, DC",2007,397.18401666666665,308.33660833333334,380516.6666666667,362.5,396241.6666666667,429983.3333333333,,
"Washington, DC",2008,402.39886666666666,301.2054416666667,374954.0833333333,344.5,372958.3333333333,394125.0,,
"Washington, DC",2009,403.229425,322.9604583333333,397268.7083333333,326.1666666666667,348833.3333333333,361900.0,,
"Washington, DC",2010,414.4551166666667,328.61195,411130.75416666665,344.1666666666667,363716.6666666667,369300.0,2.26196762326963,
"Washington, DC",2011,412.37815,321.68811666666664,427306.1666666667,340.8333333333333,359741.6666666667,361433.3333333333,2.485138722563897,
"Washington, DC",2012,418.74127500000003,326.86780000000005,429725.9583333333,352.0,373583.3333333333,373841.6666666667,2.527696531213911,
"Washington, DC",2013,456.6110666666666,356.7676333333333,469671.625,380.0833333333333,408775.0,421858.3333333333,2.836856128346493,2.0168193006217727
"Washington, DC",2014,472.76960833333334,366.06188333333336,489040.4375,417.75,451291.6666666667,472050.0,2.6534062424342846,1.9869706477918736
"Washington, DC",2015,498.19684166666667,397.41006666666664,512759.1666666667,450.6666666666667,490941.6666666667,519566.6666666667,2.834838193777973,2.098110838151164
"Washington, DC",2016,507.4443714285714,400.15752857142854,522841.6666666667,475.25,517533.3333333333,558966.6666666666,2.867443914146192,2.0894751644693335
"Washington, DC",2017,,,,496.75,548425.0,600375.0,2.968151112732425,2.2466447619882213
